1,1,Ashfaq
2,2,Iftikhar
3,3,Bilal
4,4,Noman
5,5,Hassan
6,6,Ahmad Zia
7,7,Waseem
8,8,Irfan
9,9,Zaigham
10,10,Islam
11,11,Waqas 
12,12,Tahir
13,13,Umair
14,14,Umair
15,15,Waqas Anwar
16,16,Ramzan
17,17,Ahmad
18,18,Ibrar
19,19,Nasir
20,20,Imran
21,21,Awais
22,22,Bilal GT
